"sample id","MYCN","STC1","P4HA1","BHLHE40","HIF1A","ELVIDGE_HIF1A_TARGETS_UP","Quiescence Down Cheung","T cell exhaustion","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_HYPOXIA","ST8SIA1","Quiescence Up Cheung","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_MITOTIC_SPINDLE","HALLMARK_DNA_REPAIR","HALLMARK_G2M_CHECKPOINT","HALLMARK_APOPTOSIS","HALLMARK_E2F_TARGETS","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","CHIP_HIF1A_300","CHIP_EPAS1_300","high_risk"
"GSM1205238","42.499","2.948","12.86","20.918","83.367","0.0660942074062656","0.473614301227113","0.245379027825205","0.0477625143132503","-0.399086595013976","13.05","-0.421951357829882","-0.239607334839206","0.0883829391596497","0.144749759274218","0.451147583397601","-0.134673513790123","0.516426836803461","-0.267669669959496","-0.135035381639776","-0.306734980791127","-0.319117757286635","yes"
"GSM1205239","25.488","3.088","10.856","14.059","86.39","0.409589251353346","0.157809290685258","0.216399339212766","-0.286165072837602","-0.389614309584765","20.36","-0.283259539164726","-0.416627079887718","0.153283569572484","0.0670082468460592","0.429753303662556","-0.317314675411766","0.48432682096103","-0.116358357413048","-0.227619379918971","0.00238836797344663","-0.201903629201501","yes"
"GSM1205240","883.223","6.025","12.68","22.274","77.586","0.0522361795029074","0.368711570289144","-0.0965050730405311","-0.397950690856011","-0.249323034011181","11.563","-0.286065584021654","-0.412528259695796","0.112999834026002","0.18360678206181","0.459707755708758","-0.40635199301933","0.535060477303487","-0.0744701071144209","-0.367977581399745","0.0612733677169591","-0.174953282485681","yes"
"GSM1205241","433.333","3.091","19.675","33.514","95.223","0.101529400105442","0.310135414793118","-0.427208003193219","-0.264344386860252","-0.0329447131495485","18.852","-0.137829642020767","-0.260795494571633","0.185020300086551","0.13054822143575","0.203853907755483","-0.0651725163727928","0.195363547289207","0.119625764156261","0.035519550483791","0.131029756319776","0.057691678746504","yes"
"GSM1205242","854.354","10.856","22.736","31.211","103.041","0.273019542071506","0.441390609445196","0.269036120548146","-0.13019056625551","-0.0416115653259653","41.336","-0.468813539151403","-0.345156971275624","-0.0639871445684283","0.12572937584714","0.370025952226517","-0.213093080613004","0.433464393042391","0.18567064861732","-0.0962706864510015","-0.132851541466212","-0.133279901084976","yes"
"GSM1205243","111.049","9.317","13.553","24.425","105.257","-0.251472520408105","0.41983214106703","0.0178681058686173","-0.224765807101978","-0.0803233841044835","33.991","-0.22042320897909","-0.304293626244811","0.449499522055753","0.0351254531435465","0.578768080542452","-0.171588876587301","0.601172561759766","-0.0175196426030839","-0.117476374613764","0.0593078722550932","-0.0709981814403228","no"
"GSM1205244","63.553","6.56","13.458","91.384","95.681","0.131695626873889","0.190232707005607","0.819718566283026","0.481353553325458","-0.0127794316415655","25.201","-0.146789301657956","0.465003604275385","0.114604588887753","-0.241384593172088","0.0323705595341867","0.301699371172993","-0.181221962087115","-0.0915692775597904","0.228203238571967","-0.265629624251076","-0.114986337950218","yes"
"GSM1205245","1558.482","58.68","9.724","32.147","127.852","0.135476275096795","0.583768549170245","-0.210654197944756","-0.41364996925596","-0.208396850660591","17.807","-0.333026426080132","-0.474938461894595","0.0377656823246393","0.186682498313987","0.524440173269358","-0.411657954065981","0.607328098706038","0.0326001175902131","-0.289050588872825","-0.0667738468404412","-0.146944015987434","yes"
"GSM1205246","726.585","16.095","23.864","51.074","88.669","0.187802167139126","0.559735575367054","0.61823124631486","-0.281864626404599","0.0788463241871073","44.472","-0.326166698537952","-0.214435578213324","-0.0511304616327633","0.392397078797437","0.51669689380207","-0.196780352161629","0.619137622361367","0.159424402841974","0.0648415299217986","0.138918074293115","0.102812663435429","yes"
"GSM1205247","1234.037","4.24","23.3","24.247","127.063","0.209644373173214","0.534993537691898","-0.0308863076977027","-0.448082113390217","0.0939676218443718","29.86","-0.249677631013329","-0.434375203929379","0.208512430110347","0.283831107293607","0.528843264566276","-0.39432745336301","0.515946688459545","0.199098287228305","-0.195182838043281","0.295862434325087","0.0942352546850656","yes"
"GSM1205248","43.224","49.302","30.283","119.521","143.518","-0.182710748786319","-0.564851712022533","0.42495570620871","0.599336580315502","0.339126317956083","27.3","0.128500172896811","0.738803072797993","-0.148861197128759","-0.431952220731363","-0.454146003204777","0.444983663077701","-0.556462129444389","-0.156167305572849","0.388230358059122","0.0273890827670577","0.285729330026895","no"
"GSM1205249","84.344","2.811","9.427","25.403","52.984","-0.156330605057812","-0.473898837178347","-0.296476044784689","-0.259927523471859","-0.376674354728619","49.503","0.037735606970578","-0.379616967474222","0.0131011715524794","-0.323355111615063","-0.233828215553166","-0.260403093264612","-0.345720682111125","-0.267900168158012","-0.301750916369204","-0.221854312711652","-0.250513694254772","no"
"GSM1205250","32.978","22.097","11.021","25.899","27.649","-0.170566719804258","-0.604518312696152","-0.536915189924814","-0.238526602736787","-0.242525458585434","8.669","0.109909726567897","-0.402518624338784","-0.334351561286173","-0.371080988891333","-0.493253220688442","-0.167199178962944","-0.538702973916199","-0.222375474263112","-0.0614163978326988","-0.107873457631804","-0.154769914798431","yes"
"GSM1205251","27.01","23.88","17.726","96.01","115.325","0.230035304847387","-0.368418984432998","0.671837473914726","0.469157951933385","0.310727641488524","21.706","0.268031637099116","0.450042464118675","-0.283799008971208","-0.294462752812041","-0.643434250209676","0.372607001022662","-0.686508380029007","0.255852731973714","0.272925863347326","0.0919788887941938","0.183035200114625","no"
"GSM1205252","70.262","14.51","7.746","22.496","54.631","0.0729486188697959","-0.472937150527279","-0.53322822484767","-0.428651111558875","-0.254557467576967","19.189","0.188175766071711","-0.472633018887811","-0.249660748934853","-0.331032626723469","-0.412469732580617","-0.37912121070042","-0.419841427916566","-0.151050078252561","-0.424666798930527","-0.0257423266271619","-0.216860554454364","yes"
"GSM1205253","40.919","9.718","13.764","49.604","58.72","-0.355559668932924","-0.732969824432829","-0.544642464638972","-0.225023192012716","-0.119684209909704","77.639","0.158697478986425","-0.267588111666708","-0.271064905169741","-0.00931065440240375","-0.535067089587684","-0.238259811725371","-0.59594891123302","-0.205627773899909","-0.295740917948341","-0.0127653438379547","-0.0934022137932905","no"
"GSM1205254","46.286","4.824","11.49","41.504","55.229","-0.252584127531713","-0.616241223912153","0.0669744128447932","0.250877872817917","-0.238987789839884","47.592","0.311360933412115","0.0652927320148279","-0.0414136907660645","-0.432590465096736","-0.50664953597708","-0.145074448286298","-0.575792084181015","-0.338017776587481","-0.11861669759833","-0.0544533845584696","-0.059842045392673","no"
"GSM1205255","48.472","24.151","15.44","116.841","108.262","0.316921167111994","0.0833482113503861","-0.0281067314900709","0.229114209744672","0.219835538051959","35.273","0.174808890426766","0.385475706861407","-0.0410847262827315","-0.256575812193231","-0.449405275513317","0.0561811980189183","-0.424890936687562","0.213805774230139","0.0624709530250466","0.0883991025798631","0.197421008070972","no"
"GSM1205256","88.791","14.059","11.534","46.791","57.886","0.169756000489042","0.304580764681418","-0.320409811586698","0.152171626021444","0.165123750994199","37.177","-0.10526093480336","0.0661686821317711","0.284158052921844","-0.0269401533407442","0.257130471368178","0.0609011999931224","0.282128054435367","0.0754989534803981","-0.0167083566599409","-0.0852102229883498","0.126876733281326","no"
"GSM1205257","32.757","12.456","18.256","272.16","86.806","-0.249712253179071","-0.57401159144722","0.522957920476103","0.597250668380065","0.276695662763745","23.285","0.19179741950803","0.684345937191173","-0.210045401573646","-0.412066856182339","-0.504967133028493","0.430489709116696","-0.573615369120584","-0.215671304796641","0.351024832122846","-0.130800093889811","0.192105161840591","no"
"GSM1205258","4.605","8.485","13.372","70.214","90.511","0.220475664540382","-0.607272700237059","0.708348974427796","0.455423591729682","0.213040878516922","17.223","0.204086383243052","0.405492337963877","-0.327798895912895","-0.302923346104822","-0.614081089830207","0.359344143149146","-0.662241007432799","-0.0065469352876405","0.242637062687222","0.0209201176060363","0.140531029570519","no"
"GSM1205259","25.437","22.541","15.642","125.586","68.602","0.0952504944255796","-0.491713972656967","0.131998546804953","0.446548639083277","0.224043597239198","53.346","0.323324253250628","0.539437355832235","-0.0673665421839284","-0.414829918546533","-0.488854760256954","0.304774664430344","-0.551002096917559","0.105247565885515","0.232759598013001","0.0135870975548678","0.169012556216037","no"
"GSM1205260","54.52","47.981","12.432","124.726","78.386","0.165920100489629","-0.566221623335446","0.531164715125718","0.316968542081958","0.271560174309217","36.605","0.190017504258017","0.49966962503223","-0.31552208305134","-0.454314676197167","-0.641994521351514","0.253909168936087","-0.704657187756666","0.0181299980097251","0.0499214757084813","0.060878506929631","0.203102292957018","no"
"GSM1205261","14.718","12.852","19.988","231.241","114.457","-0.0300119809207155","-0.348165622942173","-0.053009915822805","0.417056067444428","0.345618349162821","15.703","0.26090286829679","0.547376214808064","-0.310808046685494","-0.295709384052883","-0.578733028112017","0.43725210166978","-0.57882129630881","0.254499346132215","0.242376266522092","0.0765187099598188","0.235294370753146","no"
"GSM1205262","45.14","29.286","18.448","119.85","121.259","0.12902980962446","-0.326677923096106","0.467129780783292","0.317869363931717","0.330245482322707","39.72","0.255929146174329","0.414481501382064","-0.272876286890337","-0.359116006713537","-0.587869017011314","0.331580697187504","-0.631908294359075","0.254225718425423","0.236840252400783","0.0802253067098841","0.141975086913934","no"
